student,college,college_clean,done,exclude,notes
Cohen,Hampton University,Hampton,x,,
Cohen,Harcum College,Harcum College,x,,
Cohen,Hardin Jefferson,Hardin Jefferson,x,,
Cohen,Hardin-Simmons,Hardin-Simmons,x,,
Cohen,Harris Stowe State,Harris Stowe,x,,
Cohen,Harris-Stowe,Harris-Stowe,x,,
Cohen,Harris-Stowe State University,Harris-Stowe ,x,,
Cohen,Harrison,Harrison,x,,
Cohen,Hartford,Hartford,x,,
Cohen,Harvard,Harvard,x,,
Cohen,Hastings College,Hastings College,x,,
Cohen,Hawai'i,Hawai'i,x,,
Cohen,Hawai'i Pacific,Hawai'i Pacific,x,,
Cohen,Hawaii,Hawai'i,x,,
Cohen,Hawaii Pacific University,Hawai'i Pacific,x,,
Cohen,Henderson State,Henderson State,x,,
Cohen,Henderson State University,Henderson State,x,,
Cohen,Hesston College,Hesston College,x,,
Cohen,High Point,High Point,x,,
Cohen,High Point University,High Point,x,,
Cohen,Highland Community College,Highland CC,x,,
Cohen,Hill College,Hill College,x,,
Cohen,Hill-Murray,Hill-Murray,x,Y,this may be a high school?
Cohen,Hillsborough Community College,Hillsborough CC,x,,
Cohen,Hillsdale,Hillsdale,x,,
Cohen,Hinds Community College,Hinds CC,x,,
Cohen,Hiram College,Hiram College,x,,
Cohen,Hobart and William Smith Colleges,Hobart and William Smith Colleges,x,,
Cohen,Hocking College,Hocking College,x,,
Cohen,Hofstra,Hofstra,x,,
Cohen,Holmes,Holmes CC,x,,
Cohen,Holmes Community College,Holmes CC,x,,
Cohen,Holy Cross,Holy Cross,x,,
Cohen,Holy Family,Holy Family,x,,
Cohen,Holy Family University,Holy Family,x,,
Cohen,Hood College,Hood College,x,,
Cohen,Hope College,Hope College,x,,
Cohen,Hope International University,Hope International,x,,
Cohen,Houghton College,Houghton,x,,
Cohen,Houghton University,Houghton,x,,
Cohen,Houston,Houston,x,,
Cohen,Houston Astros,Houston Astros,x,Y,i mean......
Cohen,Houston Baptist,Houston Baptist,x,,
Cohen,Houston Christian,Houston Christian,x,,
Cohen,Houston Christian University,Houston Christian,x,,
Cohen,Houston Rockets,Houston Rockets,x,Y,l m a o 
Cohen,Houston Texans,Houston Texans,x,Y,L M A O 
Cohen,Howard,Howard,x,,
Cohen,Howard Payne University,Howard Payne,x,,
Cohen,Howard University,Howard,x,,
Cohen,Humboldt State,Humboldt State,x,,
Cohen,Humboldt State University,Humboldt State,x,,
Cohen,Huntingdon College,Huntingdon College,x,,
Cohen,Hutchinson Community College,Hutchinson CC,x,,
Gomes,IPFW,IPFW,x,,
Gomes,IU Indianapolis,IU Indianapolis,x,,
Gomes,IUPUI,IUPUI,x,,
Gomes,Idaho,Idaho,x,,
Gomes,Idaho St.,Idaho State,x,,
Gomes,Idaho State,Idaho State,x,,
Gomes,Illinois,Illinois,x,,
Gomes,Illinois Central College,Illinois Central,x,,
Gomes,Illinois State,Illinois State,x,,
Gomes,Illinois Wesleyan,Illinois Wesleyan,x,,
Gomes,Illinois-Chicago,Illinois-Chicago,x,,
Gomes,Incarnate Word,Incarnate Word,x,,
Gomes,Independence Community College,Independence CC,x,,
Gomes,Indiana,Indiana,x,,
Gomes,Indiana Fever,Indiana Fever,x,,
Gomes,Indiana State,Indiana State,x,,
Gomes,Indiana State University,Indiana State,x,,
Gomes,Indiana Tech,Indiana Tech,x,,
Gomes,Indiana University,Indiana,x,,
Gomes,Indiana University Southeast,Indiana University Southeast,x,,
Gomes,Indiana University of Pennsylvania,Indiana University of Pennsylvania,x,,
Gomes,Iona,Iona,x,,
Gomes,Iona College,Iona,x,,
Gomes,Iona University,Iona,x,,
Gomes,Iowa,Iowa,x,,
Gomes,Iowa Central Community College,Iowa Central CC,x,,
Gomes,Iowa State,Iowa State,x,,
Gomes,Iowa State University,Iowa State,x,,
